id,coord_x,coord_y,join_id,join_@id,join_addr_city,join_addr_house,join_addr_postc,join_addr_stree,join_building,join_building_l,join_level,join_name,join_opening_ho,join_phone,join_roof_level,join_shop,join_website,join_addr_count,join_building_c,join_email,join_height,join_internet_a,join_roof_colou,join_roof_shape,join_operator,join_source,join_wheelchair,join_wikidata,distance
2902,1915197.9,4222977,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2157.44149279372
2903,1914855.9,4222304.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2719.86720206684
2904,1914084,4224747.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,413.470488242042
2905,1913000.2,4225840.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,1655.07997270997
2906,1914647.6,4223519,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,1487.71944226965
2907,1913825.5,4223151,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,1931.73112265088
2908,1915199.2,4221547.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,3528.84319623678
2909,1912292.2,4226131.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2414.63961161336
2910,1914268.8,4221811,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,3181.70353408018
2911,1915639.9,4224553.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,1295.80428508699
2912,1913296.2,4222898.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2373.30639410644
2913,1915580.9,4225420.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,1238.90600236643
2914,1912597.9,4223135.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2598.89221467163
2915,1912826.2,4224936,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,1594.20303613556
2916,1912550.9,4224739.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,1885.21802768113
2917,1914113.5,4224199.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,846.855952771766
2918,1914241.1,4224501.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,519.24707629296
2919,1915145.9,4222791.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2314.56629774308
2920,1914899.2,4225638.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,807.325508124208
2921,1912379.9,4221905.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,3697.13728730033
2922,1914490.4,4221580,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,3409.86860045178
2923,1913545.4,4223055,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2122.4860399735
2924,1915350.4,4223146,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2064.86735523878
