id,coord_x,coord_y,join_osm_id,join_name,join_type,join_oneway,join_bridge,join_tunnel,join_maxspeed,distance
230,1914223.4,4224773,258883118,Rue Saint-François,footway,1,,,31,2.21130928863495
231,1913008.8,4221510,9751753,,service,1,,,,2.43749319058783
232,1914895.5,4222645.5,49864455,,footway,,,,,3.20231892866478
233,1912692,4221914,330138750,,footway,,,,,21.3624985214165
234,1915441,4223149,380729646,,footway,,,,,0.476131839536437
235,1915110.2,4224670.5,85388346,,footway,,,,,9.78241433254339
236,1914869.9,4222278.5,53563358,,footway,,,,,7.98892684793875
237,1914093.1,4223739,237147531,Boulevard Maréchal Foch,primary,1,,,51,5.55766076574834
238,1913173.9,4225605,137933848,Quai de la Graille,tertiary,,,,31,47.9993226603745
239,1913308.4,4222398,81244582,Impasse 123 Libération,residential,,,,31,8.51635121941363
240,1913988,4221785,177593630,,service,,,,,4.26468307640949
241,1914658.4,4223762.5,245066301,,footway,,,,,0.885794604497007
242,1914272.1,4224078,82633083,,footway,,,,,13.4581426098091
243,1914506.4,4221859.5,204417594,Reynoard,platform,,,,,18.2397653071189
244,1915449,4224476.5,251153113,,footway,,,,,8.4233068459783
245,1913804.9,4223507.5,47068899,Rue Léo Lagrange,tertiary,,,,31,23.7463454128118
246,1914455.8,4223092.5,4014405,Rue des Charmilles,residential,1,,,31,12.3991309961289
247,1915387.5,4224583.5,170083999,Avenue de Valmy,residential,,,,31,14.5712980118511
248,1913734.4,4223640.5,324871942,Boulevard Maréchal Foch,path,1,,,,1.09180051758916
249,1915481.2,4222609.5,307351814,Allée Charles Pranard,footway,,,,,4.55277502878923
250,1915181.2,4224050.5,52567125,,service,1,,,,4.28250512433756
251,1914585.5,4221289.5,40406761,Avenue de l'Europe,secondary,1,,,51,7.58143954303332
252,1915166.4,4224853,322550018,,footway,,,,,6.73187405878233
253,1912456.9,4222482,324871967,Rue Elsa Triolet,residential,,,,,17.8747912701833
254,1914886.1,4222467.5,50250337,,footway,,,,,3.18851901320432
255,1915719,4224564,286867717,,path,,,,,4.39368611750527
256,1914476.1,4221854.5,299529792,Avenue Marie Reynoard,secondary,1,,,51,4.85276338261244
257,1915631,4224591,35036149,,path,,,,,6.13243011750573
258,1913251.6,4225009.5,41743166,Rue Émile Gueymard,residential,1,,,31,6.80477947411951
259,1913556.9,4223111,96756383,,footway,,,,,4.04155486900967
260,1915287.1,4222330,41406457,Avenue Nicolas Boileau,residential,,,,31,3.16782003722873
261,1914300.9,4224993.5,258883120,Rue d'Agier,pedestrian,,,,,1.89358511359469
262,1912648.1,4223171.5,120475901,,path,,,,,2.97852308426549
263,1914835,4222071.5,178153896,,footway,,,,,9.88510760832283
264,1912401.4,4221963.5,294019260,,motorway,1,,,91,42.4759308375667
265,1914275.8,4224087.5,273791728,,footway,,,,,12.0378482088176
266,1915356,4225145.5,33512830,,footway,,,,,17.1849223567618
267,1913797.8,4225176.5,183077137,,footway,,,,,29.4060005235783
268,1913664,4222620,95433,Rue Marquian,residential,,,,31,11.5457505603721
269,1913133.2,4225670,145760282,Rue Roger Josserand,residential,,,,31,1.37722618921711
270,1915541.9,4224645.5,286867716,,footway,,,,,3.33392403541978
271,1914778.2,4222368.5,49862161,,footway,,,,,6.32339073318027
272,1912609.1,4221807.5,330138755,,footway,,,,,44.8197843796791
273,1914800,4223841,38655223,Avenue Albert 1er de Belgique,secondary,,,,31,8.24419510056195
274,1914806.1,4224880,4262551,Rue de l'Alma,residential,1,,,31,6.56847997971859
275,1912658.9,4221901.5,330138755,,footway,,,,,23.3549543878932
276,1913838.9,4224755.5,41283920,Boulevard Gambetta,secondary,1,,,31,6.17574938593657
