id,coord_x,coord_y,join_osm_id,join_name,join_type,join_population,distance
10382,1915512.6,4222932,3837354216,Châtelet,Voisinage,,756.824785481041
10383,1914641.6,4223616.5,26686589,Grenoble,city,155637,869.971209594441
10384,1915053.6,4222550.5,1822915468,La Bruyère,neighbourhood,,381.928217801766
10385,1915232.6,4225768,699050814,La Pièce Longue,locality,,448.775531322332
10386,1914744.5,4225427,919367053,Notre-Dame,neighbourhood,,438.907073213708
10387,1913815.6,4223296,26686589,Grenoble,city,155637,572.249696550063
10388,1912397.5,4223639,3391349417,Les Îles,neighbourhood,,359.268752927675
10389,1913804.6,4223147,26686589,Grenoble,city,155637,721.222199812331
10390,1915584.8,4223021.5,3837354216,Châtelet,Voisinage,,642.175343467765
10391,1913841.9,4221501,663102355,Surieux,locality,,619.178132942305
10392,1912901.6,4223757.5,919369579,L'Aigle,neighbourhood,,697.689773952711
10393,1912579.9,4223061.5,3391272616,Les Îles-Sud,neighbourhood,,495.819242701223
10394,1913622.1,4221739,2140400356,Rondeau,neighbourhood,,559.86235086906
10395,1914978.2,4224501,3883913693,Préfecture,neighbourhood,,249.185676616415
10396,1915014.8,4224622.5,3883913692,Mutualité,neighbourhood,,167.473644040197
10397,1914912.8,4225296.5,919367053,Notre-Dame,neighbourhood,,438.32574336943
10398,1912694.1,4221939,3768518877,Mistral - Bachelard,suburb,,205.532417677431
10399,1915718.1,4222592.5,1822915467,Helbronner,neighbourhood,,667.963235389564
10400,1914479,4221761,1822915465,Arlequin,neighbourhood,,378.697330400608
10401,1914732.9,4222278,1822915468,La Bruyère,neighbourhood,,136.349622258189
10402,1915518.2,4223277,3837354216,Châtelet,Voisinage,,551.297915750624
10403,1914300.9,4223938,443945403,Championnet,neighbourhood,,472.458898677538
10404,1915243.5,4224866,3883913692,Mutualité,neighbourhood,,232.007722839216
10405,1914687.2,4225397,919367053,Notre-Dame,neighbourhood,,390.590716070624
10406,1915002.6,4222391.5,1822915468,La Bruyère,neighbourhood,,222.538451555422
10407,1915357.5,4221544,1051603116,Les Géants,neighbourhood,,160.433073462907
10408,1914652.9,4221565,1822915466,Constantine,neighbourhood,,266.833085256843
10409,1915273.9,4222712.5,1822915468,La Bruyère,neighbourhood,,642.824646952484
10410,1915275.8,4224672.5,3883913692,Mutualité,neighbourhood,,277.377683960356
10411,1915356.6,4222942,3837354216,Châtelet,Voisinage,,864.337562149646
10412,1915537.1,4223337.5,3837354216,Châtelet,Voisinage,,513.218953156964
10413,1915089.6,4222718,1822915468,La Bruyère,neighbourhood,,546.936611192237
10414,1912910.8,4224794.5,1841690043,Bouchayer-Viallet,neighbourhood,,579.590488447137
10415,1912102.1,4226285,919361060,Polygone Scientifique,suburb,,271.995791008226
10416,1913197.2,4224784,3363841337,Arago,neighbourhood,,597.438700964598
10417,1914230,4222063,3840890815,Clos d'Or,neighbourhood,,392.258192208536
10418,1914859,4222598,1822915468,La Bruyère,neighbourhood,,375.271054580728
10419,1915181.5,4222683.5,1822915468,La Bruyère,neighbourhood,,563.252626814147
10420,1915375.6,4224632,3883913692,Mutualité,neighbourhood,,384.982543966124
10421,1913179.1,4222812,3768518877,Mistral - Bachelard,suburb,,808.787572603447
10422,1914718.9,4221613,1822915466,Constantine,neighbourhood,,226.31636578871
10423,1914519.2,4223211,3840890815,Clos d'Or,neighbourhood,,824.789233491862
10424,1912789.9,4222006,3768518877,Mistral - Bachelard,suburb,,150.296488779143
10425,1914731.8,4222620.5,1822915468,La Bruyère,neighbourhood,,417.171000771642
10426,1913421.9,4223322,919369579,L'Aigle,neighbourhood,,618.306659117702
10427,1914732.9,4222602.5,1822915468,La Bruyère,neighbourhood,,399.700582904355
10428,1913111.4,4221982,2140400356,Rondeau,neighbourhood,,105.529832774231
10429,1914434.9,4223093.5,3840890815,Clos d'Or,neighbourhood,,684.224762748416
10430,1914215,4222173,3840890815,Clos d'Or,neighbourhood,,281.369061462097
10431,1914445,4222154,3840890815,Clos d'Or,neighbourhood,,391.476656311683
10432,1913822.2,4223414,26686589,Grenoble,city,155637,454.406238859719
10433,1914120.8,4221825,3840890815,Clos d'Or,neighbourhood,,632.622093707263
10434,1912538.5,4222482.5,3768518877,Mistral - Bachelard,suburb,,388.68033902833
10435,1915651.5,4225193.5,3845606659,Les Sablons,locality,,243.075875192259
10436,1915045,4223318,3837354216,Châtelet,Voisinage,,997.63638353347
10437,1915403.4,4223111,3837354216,Châtelet,Voisinage,,728.792296402472
10438,1912941,4225046,3363841337,Arago,neighbourhood,,404.679303319228
10439,1914722.8,4225890.5,3885214786,Saint-Jean,neighbourhood,,257.476364003556
10440,1915077,4222168.5,1822915468,La Bruyère,neighbourhood,,226.055554862528
10441,1912856.5,4222811,3768518877,Mistral - Bachelard,suburb,,681.567964570634
10442,1914229.4,4222108,3840890815,Clos d'Or,neighbourhood,,347.422422810069
10443,1915453.6,4224700.5,3883913692,Mutualité,neighbourhood,,438.372705410667
10444,1913696.6,4225109.5,3363841337,Arago,neighbourhood,,593.773210186333
10445,1914498.4,4223253,3840890815,Clos d'Or,neighbourhood,,855.879605949109
10446,1915500.2,4223168.5,3837354216,Châtelet,Voisinage,,616.203544122446
10447,1914746.2,4221745.5,1822915465,Arlequin,neighbourhood,,153.391261202334
10448,1915361.6,4222420,1822915467,Helbronner,neighbourhood,,367.777553256738
10449,1913485.6,4225177,3363841337,Arago,neighbourhood,,376.99644780727
10450,1915212.1,4221066.5,1822915466,Constantine,neighbourhood,,520.988958630397
10451,1912598,4223060,3391272616,Les Îles-Sud,neighbourhood,,513.413777931031
10452,1913384.2,4224534.5,2126097950,L'Estacade,neighbourhood,,338.702675304291
10453,1912985.2,4223033.5,3391272616,Les Îles-Sud,neighbourhood,,895.585083560456
10454,1913464.5,4225238,3363841337,Arago,neighbourhood,,328.70956426191
10455,1914222.2,4222145.5,3840890815,Clos d'Or,neighbourhood,,309.390296086028
10456,1915287.9,4225032.5,3883913692,Mutualité,neighbourhood,,358.309757826143
10457,1913259.6,4222066.5,2140400356,Rondeau,neighbourhood,,257.751459430795
10458,1914741,4225462.5,919367053,Notre-Dame,neighbourhood,,470.362760920601
10459,1914370.1,4224036,443945403,Championnet,neighbourhood,,490.49973856609
10460,1915235.5,4225100.5,3883913692,Mutualité,neighbourhood,,375.714869253769
10461,1912479.1,4223535.5,3391349417,Les Îles,neighbourhood,,447.685212056014
10462,1915546.4,4224347.5,550137565,Pont Carpin,quarter,,371.798973665638
10463,1914972.9,4224581,3883913692,Mutualité,neighbourhood,,214.958291389849
10464,1914158.4,4221486,663102355,Surieux,locality,,630.186387941252
10465,1915116.1,4222569,1822915468,La Bruyère,neighbourhood,,432.147926430831
10466,1912957.2,4222997.5,3391272616,Les Îles-Sud,neighbourhood,,866.020539799683
10467,1912578.5,4224813,1841690043,Bouchayer-Viallet,neighbourhood,,438.408502336161
10468,1913592.2,4223287,26686589,Grenoble,city,155637,620.271639676553
10469,1914155.2,4223770,26686589,Grenoble,city,155637,360.016119792052
10470,1913889.6,4223325.5,26686589,Grenoble,city,155637,548.686000442889
10471,1914629.2,4222275.5,1822915468,La Bruyère,neighbourhood,,234.363845426573
10472,1912644.4,4223223,3391272616,Les Îles-Sud,neighbourhood,,605.453788860252
10473,1913449.2,4225548.5,2683438658,Le Clos des Fleurs,neighbourhood,,309.339454784793
10474,1912499.2,4221786.5,3768518877,Mistral - Bachelard,suburb,,421.72418482005
10475,1915669.8,4225325.5,699050814,La Pièce Longue,locality,,189.39876196599
10476,1915047.1,4222710.5,1822915468,La Bruyère,neighbourhood,,523.30540658445
10477,1914911.5,4222495.5,1822915468,La Bruyère,neighbourhood,,278.053122359429
10478,1914424.1,4221342.5,663459441,Les Granges,locality,,497.867152673532
10479,1912763.6,4222127.5,3768518877,Mistral - Bachelard,suburb,,40.3051165886137
10480,1914108.4,4222884.5,3840890815,Clos d'Or,neighbourhood,,439.205585977933
10481,1913096,4222933,3768518877,Mistral - Bachelard,suburb,,873.218450721658
10482,1915535.8,4223275,3837354216,Châtelet,Voisinage,,535.834542329097
10483,1915014.8,4222878.5,1822915468,La Bruyère,neighbourhood,,674.359534889275
10484,1914417.2,4222282,3840890815,Clos d'Or,neighbourhood,,282.351106426851
10485,1914979,4222309,1822915468,La Bruyère,neighbourhood,,148.97404935661
10486,1915384.5,4223583,3837354216,Châtelet,Voisinage,,651.212881036045
10487,1912428.4,4222592,3391272616,Les Îles-Sud,neighbourhood,,511.19232565469
10488,1914742.5,4222475,1822915468,La Bruyère,neighbourhood,,277.263161707619
10489,1914182,4223762,26686589,Grenoble,city,155637,387.982205141892
10490,1914465.5,4221978.5,1822915465,Arlequin,neighbourhood,,394.778695575484
10491,1913160,4225825,3363864096,Jean Macé,neighbourhood,,63.5541724575646
10492,1914883.8,4220765,663459441,Les Granges,locality,,429.36369280612
