id,join_Station,distance
431,Grenoble Grands Boulevards,1280.74157452559
432,Grenoble les Frenes,861.747440444916
433,Grenoble les Frenes,1043.73381456424
434,Grenoble Grands Boulevards,818.229124007881
435,Grenoble Grands Boulevards,2193.34067266575
436,Saint-Martin d'Heres,828.264555487797
437,Saint-Martin d'Heres,1298.25655029593
438,Saint-Martin d'Heres,781.631801714589
439,Grenoble Grands Boulevards,2432.58557502728
440,Grenoble Rocade Sud,620.229491084473
441,Saint-Martin d'Heres,2088.02601575457
442,Grenoble les Frenes,1023.64135436667
443,Grenoble les Frenes,1123.27919472435
444,Grenoble Rocade Sud,1273.38600588966
445,Grenoble les Frenes,1210.07325339609
446,Grenoble les Frenes,817.605176388117
447,Grenoble Grands Boulevards,2441.72632281691
448,Grenoble Rocade Sud,1370.07540039924
449,Grenoble Grands Boulevards,1145.91770124976
450,Saint-Martin d'Heres,1665.66499075028
451,Grenoble les Frenes,570.619979091682
452,Grenoble Grands Boulevards,1519.10226132215
453,Saint-Martin d'Heres,1604.89977640783
454,Grenoble Grands Boulevards,76.9941327840441
455,Grenoble les Frenes,1225.09519518936
456,Grenoble Grands Boulevards,932.385577133968
457,Grenoble Rocade Sud,1225.1496578839
458,Grenoble Grands Boulevards,1676.57856579187
459,Saint-Martin d'Heres,1587.1650539497
460,Grenoble Grands Boulevards,603.447291129281
461,Grenoble Grands Boulevards,1160.30541657392
462,Grenoble les Frenes,301.356537495144
463,Grenoble Grands Boulevards,1281.94884409911
464,Grenoble Rocade Sud,559.604611415609
465,Grenoble les Frenes,957.457066988736
466,Grenoble les Frenes,470.491124049154
467,Saint-Martin d'Heres,2024.73061735765
468,Grenoble Rocade Sud,1410.30409428988
469,Grenoble Grands Boulevards,992.722683581567
470,Grenoble Grands Boulevards,101.014351169317
471,Grenoble Grands Boulevards,1215.39335247679
472,Saint-Martin d'Heres,1067.89103141843
473,Grenoble Grands Boulevards,913.842281961979
474,Grenoble les Frenes,1317.70100788182
475,Saint-Martin d'Heres,1695.9547964724
476,Grenoble Rocade Sud,1300.65800859882
477,Grenoble Grands Boulevards,3169.72749168847
478,Grenoble Grands Boulevards,1273.0331399633
479,Grenoble les Frenes,250.864391330181
480,Grenoble Grands Boulevards,814.112211826377
481,Grenoble Rocade Sud,1262.50158215509
482,Grenoble les Frenes,1355.76461398277
483,Grenoble Grands Boulevards,910.442926219705
484,Grenoble les Frenes,878.032592449023
485,Grenoble les Frenes,755.280511848315
486,Saint-Martin d'Heres,1057.58453806323
487,Grenoble Grands Boulevards,606.113301046416
488,Grenoble les Frenes,688.403117543522
489,Grenoble Grands Boulevards,449.77971903406
490,Grenoble Grands Boulevards,171.739973028836
491,Grenoble Rocade Sud,1082.53212464958
492,Grenoble Rocade Sud,1323.7621465622
493,Grenoble les Frenes,1039.70298197227
494,Grenoble les Frenes,254.173645319476
495,Grenoble les Frenes,572.48945217252
496,Grenoble Grands Boulevards,1143.69073171857
497,Grenoble Grands Boulevards,1398.65018527544
498,Grenoble les Frenes,1153.52640773968
499,Grenoble les Frenes,793.208898865934
500,Grenoble les Frenes,847.75120317324
501,Grenoble les Frenes,58.9241703772901
502,Grenoble Rocade Sud,924.954790419952
503,Grenoble les Frenes,774.129311724589
504,Grenoble les Frenes,506.186822233401
505,Saint-Martin d'Heres,2096.46267598874
506,Grenoble Grands Boulevards,940.770252835349
507,Saint-Martin d'Heres,1212.7744845894
508,Grenoble les Frenes,309.308669733459
509,Saint-Martin d'Heres,465.306524805777
510,Grenoble Grands Boulevards,460.891693983781
511,Saint-Martin d'Heres,828.432972777507
512,Grenoble Grands Boulevards,107.607636220304
513,Grenoble les Frenes,1077.98968436827
514,Grenoble les Frenes,1125.59770930819
515,Grenoble Rocade Sud,1406.77214633869
516,Grenoble les Frenes,548.260522765564
517,Grenoble Grands Boulevards,738.137991423527
518,Saint-Martin d'Heres,1088.08326140837
519,Grenoble les Frenes,1136.22990851122
520,Grenoble les Frenes,373.005454812913
521,Grenoble Grands Boulevards,1100.10842787167
522,Grenoble Rocade Sud,1231.54722796534
523,Saint-Martin d'Heres,1484.719701106
524,Grenoble les Frenes,1347.60650263955
525,Grenoble Grands Boulevards,1123.33106545508
526,Grenoble Grands Boulevards,2015.05973565808
527,Grenoble Grands Boulevards,3293.12822462018
528,Grenoble les Frenes,549.581712794367
529,Grenoble Grands Boulevards,1251.02516112403
530,Grenoble les Frenes,893.068635888194
531,Grenoble Grands Boulevards,567.319120123733
532,Saint-Martin d'Heres,1340.96606690774
533,Grenoble Rocade Sud,393.550751164517
534,Grenoble les Frenes,498.210899919087
535,Grenoble Rocade Sud,541.092220553106
536,Saint-Martin d'Heres,1371.96185418748
537,Grenoble les Frenes,852.103379284508
538,Saint-Martin d'Heres,1106.01742688958
539,Grenoble les Frenes,1164.16686832032
540,Saint-Martin d'Heres,1254.84318399216
541,Grenoble les Frenes,1067.7367949817
542,Grenoble Rocade Sud,978.041056426997
543,Grenoble Grands Boulevards,765.66632934518
544,Saint-Martin d'Heres,1102.14070069183
545,Grenoble les Frenes,220.18504015804
546,Grenoble Grands Boulevards,947.756565132327
547,Grenoble Grands Boulevards,945.769877979124
548,Saint-Martin d'Heres,1395.49094294285
549,Grenoble Grands Boulevards,497.542073398308
550,Saint-Martin d'Heres,1532.35378449983
551,Grenoble les Frenes,526.319838841586
552,Grenoble les Frenes,969.685949004109
553,Grenoble Grands Boulevards,1507.15122175898
554,Grenoble Grands Boulevards,1303.82262687572
555,Grenoble Grands Boulevards,965.409662861225
556,Saint-Martin d'Heres,1087.5159732021
557,Grenoble Grands Boulevards,2125.73213846272
558,Grenoble Rocade Sud,1538.49307386097
559,Grenoble Rocade Sud,636.061574542911
560,Grenoble Grands Boulevards,1754.93791005619
561,Grenoble les Frenes,602.245615523493
562,Grenoble les Frenes,660.228158127936
563,Grenoble Grands Boulevards,787.655232217721
564,Saint-Martin d'Heres,1395.95563777004
565,Grenoble les Frenes,417.177067709827
566,Saint-Martin d'Heres,1004.33732756517
567,Grenoble les Frenes,810.989974443351
568,Grenoble Grands Boulevards,2053.79268802708
569,Grenoble Grands Boulevards,1101.58396592909
570,Grenoble les Frenes,1245.898670631
