id,coord_x,coord_y,join_id,join_@id,join_building,join_name,join_operator,join_operator_1,join_railway,join_source,join_uic_ref,join_official_n,join_public_tra,join_train,join_platforms,join_area,join_level,join_wheelchair,join_wikidata,join_wikipedia,distance
89,1915265.4,4222820,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,2862.25243751904
90,1915527,4222802.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,3065.53786310087
91,1912061.2,4226357.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,1921.86473540908
92,1914218.2,4222207.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,2803.58176593231
93,1914843.9,4222334,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,2973.72068095369
94,1912768.4,4222131.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,2737.78896680171
95,1915496.6,4222684.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,3122.68888153503
96,1912831.9,4221872.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,2984.33660497594
97,1915153.9,4225734.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,2127.47546403248
98,1913271.6,4223596.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,1234.69049849148
99,1912821,4224997,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,439.839713070639
100,1915010.4,4222514.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,2922.35824690126
101,1914004,4221964,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,2969.58569316961
102,1914085.2,4223010.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,2011.66131693521
103,1914718.2,4225375.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,1586.68755335313
104,1913958.2,4224593,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,767.756698939796
105,1913745.6,4225219.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,647.465498456461
106,1912699.6,4223197,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,1716.78722201535
107,1915017.9,4225600.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,1948.45764854365
108,1914522.2,4223970.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,1553.77731010512
109,1912726.8,4221733.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,3137.2298091297
110,1912370.2,4222187,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,2779.143332436
111,1914162,4224742,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,938.100265800392
112,1915551.2,4222832.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,3064.08233379139
113,1913760.8,4223632.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,1311.03561292718
114,1915024.1,4225067.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,1811.60330348797
115,1912471.9,4223747.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,1320.80473215305
116,1915480.1,4222686,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,3109.68829622893
117,1914886.8,4223884.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,1909.48549707857
118,1914821.6,4222271.5,node/5070332503,node/5070332503,,Grenoble,SNCF,,station,,,,,,,,,yes,Q2545346,fr:Gare de Grenoble,3014.53236577523
