id,distance
330,4634921.95408807
331,4635688.63995584
332,4635925.06478855
333,4638346.21671237
334,4637490.39560086
335,4635375.34522555
336,4638669.14252463
337,4635575.58920974
338,4635784.45051541
339,4637726.04151523
340,4636300.55066519
341,4636775.28049076
342,4638668.28844672
343,4637622.22329335
344,4637700.94380499
345,4636178.03639366
346,4637639.52907793
347,4637385.36331186
348,4635193.75618493
349,4638360.80182535
350,4638843.0655185
351,4637884.81572329
352,4635503.83589568
353,4635946.54524237
354,4637614.16723742
355,4635453.95790237
356,4638582.01391578
357,4636536.52121698
358,4635346.51224899
359,4636150.39274636
360,4636147.60862357
361,4638615.66770817
362,4635844.96693897
363,4636017.06337567
364,4636645.98214955
365,4636435.52622237
366,4638808.53512406
367,4637304.07714117
368,4635947.89568202
369,4638717.05852364
370,4635244.45509933
371,4635005.82834817
372,4636598.34484359
373,4634959.26221633
374,4637311.06294176
375,4637951.62558789
376,4635591.89860424
377,4636830.65362675
378,4638645.37892212
379,4635189.23181242
380,4634516.9432985
381,4635020.60436703
382,4638644.91745227
383,4637101.67713151
384,4635592.83599602
385,4636214.77505362
386,4639534.26888089
387,4636682.07409345
388,4637544.7056004
389,4637930.26006757
390,4636487.85519611
391,4637666.33800379
392,4636209.33021405
393,4637653.32857861
394,4634818.55843294
395,4636600.09941916
396,4638972.91545208
397,4637625.10340348
398,4635734.22346987
399,4637830.26473309
400,4638450.3020445
401,4634932.40232919
402,4636312.10834965
403,4639414.12555332
404,4637284.48376961
405,4637014.11135732
406,4637191.79110592
407,4635249.52906513
408,4636518.15826738
409,4635665.591315
410,4636407.75074905
411,4637944.36238078
412,4639127.04206252
413,4635315.44167005
414,4635859.90585726
415,4636885.43015883
416,4637214.2051865
417,4634970.13546727
418,4637174.23340455
419,4637765.92784902
420,4637546.14877963
421,4638476.39678521
422,4638275.0258186
423,4637933.98816071
424,4634886.86462276
425,4634878.66588022
426,4635695.73308887
427,4635610.09976299
428,4638725.83242361
